Word,Pinyin,Translation,Sentence,Sentence Pinyin,Sentence Translation
爱情,àiqíng,"romantic love, romance",爱情是美好的。,Àiqíng shì měihǎo de.,Love is beautiful.
爱情,àiqíng,"romantic love, romance",那个爱情故事很浪漫。,Nàge àiqíng gùshi hěn làngmàn.,That love story is romantic.
地方,dìfang,"place, space, part",这个地方我来过。,Zhège dìfang wǒ láiguò.,I've been here before.
地方,dìfang,"place, space, part",你在什么地方？,Nǐ zài shénme dìfang?,Where are you?
迟到,chídào,"to be later, to arrive late",今天我迟到了。,Jīntiān wǒ chídào le.,I was late today.
迟到,chídào,"to be later, to arrive late",开会不要迟到了。,Kāihuì búyào chídào le.,Don't be late for the meeting.
不客气,búkèqi,"impolite, rude; you're welcome","""谢谢你。""""不客气。""","""Xièxie nǐ."" ""Búkèqi.""","""Thank you."" ""You're welcome."""
不客气,búkèqi,"impolite, rude; you're welcome",不客气，我很愿意帮助你！,"Búkèqi, wǒ hěn yuànyì bāngzhù nǐ!","Think nothing of it, I'm happy to help you!"
照相机,zhàoxiàngjī,camera,他喜欢收集照相机。,Tā xǐhuan shōují zhàoxiàngjī.,He likes to collect cameras.
照相机,zhàoxiàngjī,camera,我有一台数码照相机。,Wǒ yǒu yì tái shùmǎ zhàoxiàngjī.,I have a digital camera.
弟弟,dìdi,younger brother,她有一个弟弟。,Tā yǒu yí gè dìdi.,She has a younger brother.
弟弟,dìdi,younger brother,我弟弟今年上小学了。,Wǒ dìdi jīnnián shàng xiǎoxué le.,My younger brother entered elementary school this year.
没意思,méiyìsi,boring,这部电影没意思。,Zhè bù diànyǐng méiyìsi.,This movie is boring.
没意思,méiyìsi,boring,他的讲话真没意思。,Tā de jiǎnghuà zhēn méiyìsi.,His speech was really boring.
经营,jīngyíng,"to run, to manage, to engage in",他经营一家书店。,Tā jīngyíng yì jiā shūdiàn.,He runs a bookshop.
经营,jīngyíng,"to run, to manage, to engage in",这个商店经营得不好。,Zhège shāngdiàn jīngyíng de bùhǎo.,The store is not managed well.
系统,xìtǒng,system; systematic,我不了解公司的管理系统。,Wǒ bù liǎojiě gōngsī de guǎnlǐ xìtǒng.,I'm not familiar with the company's management system.
系统,xìtǒng,system; systematic,他系统地说明了这次核电站事故的原因。,Tā xìtǒng de shuōmíngle zhè cì hédiànzhàn shìgù de yuányīn.,He explained the causes of the current nuclear accident in a systematic manner.
进行,jìnxíng,"to carry on, to conduct, to be engaged in",他在进行历史研究。,Tā zài jìnxíng lìshǐ yánjiū.,He's engaged in historical research.
进行,jìnxíng,"to carry on, to conduct, to be engaged in",工作进行得怎么样？,Gōngzuò jìnxíng de zěnmeyàng?,How is the work progressing?
杀,shā,to kill,他在杀一只鸡。,Tā zài shā yì zhī jī.,He's slaughtering a chicken.
杀,shā,to kill,敌人都被杀死了。,Dírén dōu bèi shāsǐ le.,The enemies were all killed.
聪明,cōngmíng,"clever, intelligent",他是个聪明的孩子。,Tā shì gè cōngmíng de háizi.,He's a clever boy.
聪明,cōngmíng,"clever, intelligent",她既善良又聪明。,Tā jì shànliáng yòu cōngmíng.,She's kind and intelligent.
请问,qǐngwèn,"excuse me, may I ask",请问，从这里怎么去车站？,"Qǐngwèn, cóng zhèlǐ zěnme qù chēzhàn?","Excuse me, how do I get to the station from here?"
请问,qǐngwèn,"excuse me, may I ask",请问，到美术馆怎么走？,"Qǐngwèn, dào měishùguǎn zěnme zǒu?","Excuse me, how do I get to the gallery?"
作家,zuòjiā,"writer, author",我是一个作家。,Wǒ shì yí gè zuòjiā.,I'm a writer.
作家,zuòjiā,"writer, author",他是全国著名的作家。,Tā shì quánguó zhùmíng de zuòjiā.,He's a writer known to the whole nation.
有些,yǒuxiē,some; a little,我觉得有些冷。,Wǒ juéde yǒuxiē lěng.,I feel a little cold.
有些,yǒuxiē,some; a little,有些人没来上课。,Yǒuxiē rén méi lái shàngkè.,Some people were absent from class.
句子,jùzi,sentence,我看不懂他写的句子。,Wǒ kàn bu dǒng tā xiě de jùzi.,I don't understand the sentence he wrote.
句子,jùzi,sentence,这些句子写得很好。,Zhèxiē jùzi xiě de hěn hǎo.,These sentences are well written.
脏,zāng,"dirty, filthy",街道比较脏。,Jiēdào bǐjiào zāng.,The streets are quite dirty.
脏,zāng,"dirty, filthy",他的衣服脏了。,Tā de yīfu zāng le.,His clothes became dirty.
门口,ménkǒu,"entrance, doorway",他在门口等我。,Tā zài ménkǒu děng wǒ.,He waited for me by the doorway.
门口,ménkǒu,"entrance, doorway",我就在家门口。,Wǒ jiù zài jiāménkǒu.,I'm at the doorway of my house.
食堂,shítáng,"dining room, canteen, cafeteria",这是学校的食堂。,Zhè shì xuéxiào de shítáng.,This is the school's dining room.
食堂,shítáng,"dining room, canteen, cafeteria",我们去食堂吃午饭。,Wǒmen qù shítáng chī wǔfàn.,We're going to the cafeteria to have lunch.
小吃,xiǎochī,"snack, refreshments",这条街上有很多小吃。,Zhè tiáo jiē shang yǒu hěn duō xiǎochī.,There are many snack bars on the street.
回去,huíqù,"to return, to go back",你几点回去？,Nǐ jǐ diǎn huíqù?,When are you going back?
回去,huíqù,"to return, to go back",你回去哪儿？,Nǐ huíqù nǎr?,Where are you going back to?
进来,jìnlái,"to come in, to enter",请大家排队进来。,Qǐng dàjiā páiduì jìnlái.,Please line up to come in.
进来,jìnlái,"to come in, to enter",让他进来吧。,Ràng tā jìnlái ba.,Let him come in.
午饭,wǔfàn,lunch,他的午饭很简单。,Tā de wǔfàn hěn jiǎndān.,His lunch was quite simple.
午饭,wǔfàn,lunch,你午饭吃什么？,Nǐ wǔfàn chī shénme?,What are you eating for lunch?
小朋友,xiǎopéngyou,"kid, child, little friend",小朋友们在公园里玩。,Xiǎopéngyoumen zài gōngyuán li wán.,The kids are playing in the park.
小朋友,xiǎopéngyou,"kid, child, little friend",他很喜欢和小朋友玩。,Tā hěn xǐhuan hé xiǎopéngyou wán.,He likes to play with children.
米饭,mǐfàn,cooked rice,我们中午吃米饭。,Wǒmen zhōngwǔ chī mǐfàn.,We eat rice for lunch.
米饭,mǐfàn,cooked rice,米饭煮熟了。,Mǐfàn zhǔshú le.,The rice is done.
早饭,zǎofàn,breakfast,我每天都吃早饭。,Wǒ měi tiān dōu chī zǎofàn.,I eat breakfast every day.
早饭,zǎofàn,breakfast,我忘记吃早饭了。,Wǒ wàngjì chī zǎofàn le.,I forgot to eat breakfast.
标准,biāozhǔn,"standard, criterion; standard, accurate",成功的标准不仅仅是财富。,Chénggōng de biāozhǔn bù jǐnjǐn shì cáifù.,Wealth is not the only criterion of success.
标准,biāozhǔn,"standard, criterion; standard, accurate",这是标准答案。,Zhè shì biāozhǔn dá'àn.,This is the standard answer.
应该,yīnggāi,"should, ought to, must",十一点了，应该睡觉了。,"Shíyī diǎn le, yīnggāi shuìjiào le.",Since it's now 11 you should get some sleep.
应该,yīnggāi,"should, ought to, must",我应该怎么做？,Wǒ yīnggāi zěnme zuò?,What should I do?
结束,jiéshù,"to end, to finish, to conclude",他结束了和我的谈话。,Tā jiéshùle hé wǒ de tánhuà.,He finished talking with me.
结束,jiéshù,"to end, to finish, to conclude",他们结束了4年的大学生活。,Tāmen jiéshùle sì nián de dàxué shēnghuó.,Their four years of university life have ended.
高级,gāojí,"high level, grade, advanced, senior",他是高级工程师。,Tā shì gāojí gōngchéngshī.,He's a senior engineer.
高级,gāojí,"high level, grade, advanced, senior",这家饭店真高级！,Zhè jiā fàndiàn zhēn gāojí!,This is a very high-class hotel.
领域,lǐngyù,"territory, field, domain",他是科学领域的专家。,Tā shì kēxué lǐngyù de zhuānjiā.,He's an expert in the field of science.
领域,lǐngyù,"territory, field, domain",这些地属于我国的领域。,Zhèxiē dì shǔyú wǒ guó de lǐngyù.,These lands are part of our country's territory.
一般,yìbān,"general, ordinary, so-so",这道菜的味道很一般。,Zhè dào cài de wèidao hěn yìbān.,The taste of this dish is very ordinary.
一般,yìbān,"general, ordinary, so-so",他是一般工作人员。,Tā shì yìbān gōngzuò rényuán.,He's a member of the regular staff.
领导,lǐngdǎo,"leader, leadership; to lead",他是我们部门的领导。,Tā shì wǒmen bùmén de lǐngdǎo.,He is our department leader.
领导,lǐngdǎo,"leader, leadership; to lead",他领导我们这个小组。,Tā lǐngdǎo wǒmen zhège xiǎozǔ.,He leads our group.
保护,bǎohù,to protect; protection,家长保护孩子。,Jiāzhǎng bǎohù háizi.,Parents protect their children.
保护,bǎohù,to protect; protection,这里是自然保护区。,Zhèlǐ shì zìrán bǎohùqū.,This is a nature reserve.
艺术,yìshù,"art, skill",她是一个艺术家。,Tā shì yí gè yìshùjiā.,She's an artist.
艺术,yìshù,"art, skill",他说话很有艺术。,Tā shuōhuà hěn yǒu yìshù.,He's a very skilled speaker.
或者,huòzhě,"or, either...or...",你可以选择留下或者离开。,Nǐ kěyǐ xuǎnzé liúxià huòzhě líkāi.,You can choose whether to stay or leave.
或者,huòzhě,"or, either...or...",中午吃面或者吃饭。,Zhōngwǔ chīmiàn huòzhě chīfàn.,I'll eat either noodles or rice for lunch.
不同,bùtóng,different,两个苹果大小不同。,Liǎng gè píngguǒ dàxiǎo bùtóng.,The sizes of the two apples differ.
不同,bùtóng,different,我们的观点不同。,Wǒmen de guāndiǎn bùtóng.,Our viewpoints differ.
以来,yǐlái,since,夏天以来就没下过雨。,Xiàtiān yǐlái jiù méi xiàguò yǔ.,It hasn't rained since summer.
以来,yǐlái,since,从上周以来，他一直很忙。,"Cóng shàng zhōu yǐlái, tā yìzhí hěn máng.",He has been busy since last week.
注意,zhùyì,"to pay attention to, to be careful",请注意听老师讲课。,Qǐng zhùyì tīng lǎoshī jiǎngkè.,Listen attentively to the teacher's lecture.
注意,zhùyì,"to pay attention to, to be careful",开车要注意安全。,Kāichē yào zhùyì ānquán.,One must pay careful attention to driving safely.
记者,jìzhě,"reporter, journalist",他是新闻记者。,Tā shì xīnwén jìzhě.,He's a news reporter.
记者,jìzhě,"reporter, journalist",门外有很多记者。,Ménwài yǒu hěn duō jìzhě.,There are many reporters outside the door.
法律,fǎlǜ,"law, statute",我读法律专业。,Wǒ dú fǎlǜ zhuānyè.,I major in law.
法律,fǎlǜ,"law, statute",我们必须遵守法律。,Wǒmen bìxū zūnshǒu fǎlǜ.,We must obey the law.
访问,fǎngwèn,"to visit, to call on, to interview",领导出国访问了。,Lǐngdǎo chūguó fǎngwèn le.,The leader traveled abroad on an official visit.
访问,fǎngwèn,"to visit, to call on, to interview",欢迎参观访问。,Huānyíng cānguān fǎngwèn.,Company tours are welcomed.
交通,jiāotōng,"traffic, transportation; to be connected",城市的交通很方便。,Chéngshì de jiāotōng hěn fāngbiàn.,The city has convenient transport facilities.
交通,jiāotōng,"traffic, transportation; to be connected",这里的交通状况不好。,Zhèlǐ de jiāotōng zhuàngkuàng bù hǎo.,The traffic conditions here aren't good.
建立,jiànlì,"to build, to form, to establish",他们建立了合作关系。,Tāmen jiànlìle hézuò guānxi.,They established a cooperative relationship.
建立,jiànlì,"to build, to form, to establish",我们公司建立于2000年。,Wǒmen gōngsī jiànlì yú èrlínglínglíng nián.,Our company was established in 2000.
有关,yǒuguān,"to relate to, to concern, to be about",请有关人员到大厅集合。,Qǐng yǒuguān rényuán dào dàtīng jíhé.,Will the personnel concerned please gather in the lobby.
有关,yǒuguān,"to relate to, to concern, to be about",这些是有关数学的问题。,Zhèxiē shì yǒuguān shùxué de wèntí.,These are problems related to mathematics.
进,jìn,"to enter, to come in, to advance",他进了这家公司。,Tā jìnle zhè jiā gōngsī.,He joined this company.
进,jìn,"to enter, to come in, to advance",火车进站了。,Huǒchē jìnzhàn le.,The train entered the station.
检查,jiǎnchá,"to check, to inspect, to examine; examination",我去医院做全身检查。,Wǒ qù yīyuàn zuò quánshēn jiǎnchá.,I'll go to the hospital for a full-body examination.
检查,jiǎnchá,"to check, to inspect, to examine; examination",经理在检查我的工作。,Jīnglǐ zài jiǎnchá wǒ de gōngzuò.,The person in charge is checking over my work.
根据,gēnjù,"according to, on the basis of; basis, grounds",根据经验台风要来了。,Gēnjù jīngyàn táifēng yào lái le.,"Based on past experience, I think a typhoon is coming."
根据,gēnjù,"according to, on the basis of; basis, grounds",你的实验根据是什么？,Nǐ de shíyàn gēnjù shì shénme?,What's the basis of your experiment?
通过,tōngguò,"to pass through, to traverse; through",他们通过了这座桥。,Tāmen tōngguòle zhè zuò qiáo.,They went over this bridge.
通过,tōngguò,"to pass through, to traverse; through",通过努力，他们成功了。,"Tōngguò nǔlì, tāmen chénggōng le.",Through their efforts they achieved success.
继续,jìxù,"to continue, to keep on",让我们继续工作。,Ràng wǒmen jìxù gōngzuò.,Please let us continue our work.
继续,jìxù,"to continue, to keep on",请你继续说下去。,Qǐng nǐ jìxù shuō xiàqu.,Please continue speaking.
共同,gòngtóng,"common, same; together, jointly",这是我们共同的目标。,Zhè shì wǒmen gòngtóng de mùbiāo.,This is our common goal.
共同,gòngtóng,"common, same; together, jointly",我们共同努力吧。,Wǒmen gòngtóng nǔlì ba.,Let's make a joint effort.
虽然,suīrán,"though, although",虽然下雨但是不冷。,Suīrán xiàyǔ dànshì bù lěng.,"Although it's raining, it's not cold."
虽然,suīrán,"though, although",这辆车虽然很贵，还是买了。,"Zhè liàng chē suīrán hěn guì, háishi mǎi le.","Although expensive, I bought the car after all."
中央,zhōngyāng,"center, middle, central authorities",花园中央有个水池。,Huāyuán zhōngyāng yǒu gè shuǐchí.,There's a pool in the center of the garden.
中央,zhōngyāng,"center, middle, central authorities",中央下达了通知。,Zhōngyāng xiàdále tōngzhī.,The central authorities issued orders.
综合,zōnghé,"to synthesize, to integrate; comprehensive, synthetic",我在综合会议资料。,Wǒ zài zōnghé huìyì zīliào.,I'm synthesizing the information from the meeting.
综合,zōnghé,"to synthesize, to integrate; comprehensive, synthetic",这是最新的综合报道。,Zhè shì zuì xīn de zōnghé bàodào.,This is the latest news roundup.
台,tái,counter for machines or appliances,我们公司有一台闲置的复印机。,Wǒmen gōngsī yǒu yì tái xiánzhì de fùyìnjī.,Our company has one copier that is not in use.
台,tái,counter for machines or appliances,我买了一台电视机。,Wǒ mǎile yì tái diànshìjī.,I bought a TV.
任何,rènhé,any,任何时候你都可以来找我。,Rènhé shíhou nǐ dōu kěyǐ lái zhǎo wǒ.,Please call on me anytime.
任何,rènhé,any,我想去任何地方。,Wǒ xiǎng qù rènhé dìfang.,I want to go somewhere.
却,què,"but, yet, indeed",我想去却没时间。,Wǒ xiǎng qù què méi shíjiān.,I want to go but I have no time.
却,què,"but, yet, indeed",她有很多话要说，一时却什么也说不出来。,"Tā yǒu hěn duō huà yào shuō, yìshí què shénme yě shuō bu chūlái.","She had a lot to say, but at the time she was unable to utter a word."
段,duàn,"counter for sections, parts, and periods of time",我走了一段路。,Wǒ zǒule yí duàn lù.,I walked part of the way.
段,duàn,"counter for sections, parts, and periods of time",他休息了一段时间。,Tā xiūxile yí duàn shíjiān.,He took a short break.
门,mén,"door, gate; counter for courses",请开一下门。,Qǐng kāi yíxià mén.,Please open the gate a bit.
门,mén,"door, gate; counter for courses",这学期有一门外语课。,Zhè xuéqī yǒu yì mén wàiyǔkè.,There's one foreign language course this semester.
生产,shēngchǎn,"to produce, to manufacture",那里生产石油。,Nàlǐ shēngchǎn shíyóu.,Oil is produced there.
生产,shēngchǎn,"to produce, to manufacture",这家公司生产汽车。,Zhè jiā gōngsī shēngchǎn qìchē.,This company manufactures cars.
关键,guānjiàn,"key, crux; crucial",问题的关键是什么？,Wèntí de guānjiàn shì shénme?,What's the crux of the question?
关键,guānjiàn,"key, crux; crucial",比赛的关键时刻到了。,Bǐsài de guānjiàn shíkè dào le.,The crucial moment in the game has come.
获得,huòdé,"to gain, to obtain, to acquire, to win",我获得了奖学金。,Wǒ huòdéle jiǎngxuéjīn.,I received a scholarship.
获得,huòdé,"to gain, to obtain, to acquire, to win",他获得了金牌。,Tā huòdéle jīnpái.,He won the gold medal.
工程,gōngchéng,"engineering, project, construction",他喜欢研究机械工程。,Tā xǐhuan yánjiū jīxiè gōngchéng.,He likes studying mechanical engineering.
工程,gōngchéng,"engineering, project, construction",这个建筑工程很复杂。,Zhège jiànzhù gōngchéng hěn fùzá.,This construction project is very complicated.
块,kuài,"piece, lump, cube; yuan",我吃了一块蛋糕。,Wǒ chīle yí kuài dàn'gāo,I ate a big piece of sponge cake.
块,kuài,"piece, lump, cube; yuan",我还有十块钱。,Wǒ háiyǒu shí kuài qián.,I still have 10 yuan.
变化,biànhuà,"change, transformation; to change, to vary",这几年，家乡的变化很大。,"Zhè jǐ nián, jiāxiāng de biànhuà hěn dà.",My hometown has changed a lot over these past few years.
变化,biànhuà,"change, transformation; to change, to vary",这几天气候变化很快。,Zhè jǐ tiān qìhòu biànhuà hěn kuài.,The climate has been changing rapidly these past few days.
座,zuò,counter for massive or fixed objects,那里有一座桥。,Nàlǐ yǒu yí zuò qiáo.,There's a bridge there.
座,zuò,counter for massive or fixed objects,河边有几座山。,Hébiān yǒu jǐ zuò shān.,There are some mountains by the river bank.
动物,dòngwù,animal,我们要保护动物。,Wǒmen yào bǎohù dòngwù.,We should protect animals.
动物,dòngwù,animal,你喜欢什么动物？,Nǐ xǐhuan shénme dòngwù?,What kind of animals do you like?
如何,rúhé,"how, what",你近来情况如何？,Nǐ jìnlái qíngkuàng rúhé?,How have you been recently?
如何,rúhé,"how, what",这部电影你觉得如何？,Zhè bù diànyǐng nǐ juéde rúhé?,What did you think of the movie?通知 [tōngzhī]
如何,rúhé,"how, what","to notify, to inform; notice",他通知我去开会。,Tā tōngzhī wǒ qù kāihuì.
如何,rúhé,"how, what",He informed me that I should attend the meeting.,我收到了通知书。,Wǒ shōudàole tōngzhīshū.
如何,rúhé,"how, what",I received a notice.,选择 [xuǎnzé],"to select, to choose"
如何,rúhé,"how, what",我选择了这个产品。,Wǒ xuǎnzéle zhège chǎnpǐn.,I chose this product.
如何,rúhé,"how, what",他选择了这个答案。,Tā xuǎnzéle zhège dá'àn.,He chose this answer.
讨论,tǎolùn,"to confer, to discuss",他们在讨论工作方案。,Tāmen zài tǎolùn gōngzuò fāng'àn.,They are discussing the work plan.
讨论,tǎolùn,"to confer, to discuss",我们在讨论问题。,Wǒmen zài tǎolùn wèntí.,We are discussing the problem.
文章,wénzhāng,"article, essay",他在报纸发表了一篇文章。,Tā zài bàozhǐ fābiǎole yì piān wénzhāng.,He published an article in the newspaper.
文章,wénzhāng,"article, essay",他的文章写得很好。,Tā de wénzhāng xiě de hěn hǎo.,His article was very well written.
好看,hǎokàn,"good-looking, nice-looking",这条裙子很好看。,Zhè tiáo qúnzi hěn hǎokàn.,This skirt is beautiful.
好看,hǎokàn,"good-looking, nice-looking",那个女孩长得真好看。,Nàge nǚhái zhǎng de zhēn hǎokàn.,That girl is really beautiful.
许多,xǔduō,"many, much, a lot of",停车场停了许多汽车。,Tíngchēchǎng tíngle xǔduō qìchē.,There are a lot of cars parked in the parking lot.
许多,xǔduō,"many, much, a lot of",他交了许多朋友。,Tā jiāole xǔduō péngyou.,He has many friends.
上去,shàngqù,to go up; verb complement indicating upward movement,它爬上去了。,Tā páshàngqù le.,It crawled up.
上去,shàngqù,to go up; verb complement indicating upward movement,车来了，我们上去吧。,"Chē lái le, wǒmen shàngqù ba.",The car is here so let's go.
散步,sànbù,to take a walk,我喜欢饭后去散步。,Wǒ xǐhuan fàn hòu qù sànbù.,I like to take a walk after meals.
散步,sànbù,to take a walk,他们去公园散步。,Tāmen qù gōngyuán sànbù.,They're going for a walk in the park.
痛,tòng,to feel pain,我肚子痛得很厉害，站都站不直。,"Wǒ dùzi tòng de hěn lìhai, zhàn dōu zhàn bu zhí.",I couldn't even stand up because of the pain in my stomach.
痛,tòng,to feel pain,他肚子痛。,Tā dùzi tòng.,He has a stomachache.
点,diǎn,"point, dot; o'clock (used to indicate time); to nod, to order (food)",他在纸上画了一点。,Tā zài zhǐ shàng huàle yì diǎn.,He drew a dot on the paper.
点,diǎn,"point, dot; o'clock (used to indicate time); to nod, to order (food)",她友好地向我点头。,Tā yǒuhǎo de xiàng wǒ diǎntóu.,She nods to me in a friendly manner.
实现,shíxiàn,"to realize, to achieve, to bring about",他终于实现了他的梦想。,Tā zhōngyú shíxiànle tā de mèngxiǎng.,He finally realized his dream.
实现,shíxiàn,"to realize, to achieve, to bring about",我的愿望实现了。,Wǒ de yuànwàng shíxiàn le.,My wish was fulfilled.
开玩笑,kāi wánxiào,"to make a joke, to make fun of",你在开玩笑吧？,Nǐ zài kāi wánxiào ba?,Are you kidding?
开玩笑,kāi wánxiào,"to make a joke, to make fun of",请不要开玩笑！,Qǐng búyào kāi wánxiào!,Please stop joking!
有时,yǒushí,"sometimes, at times",我有时会去公园。,Wǒ yǒushí huì qù gōngyuán.,Sometimes I go to the park.
有时,yǒushí,"sometimes, at times",她有时自己去看电影。,Tā yǒushí zìjǐ qù kàn diànyǐng.,She sometimes goes to the cinema by herself.
生气,shēngqì,"to get angry; life, vitality",爸爸生气了。,Bàba shēngqì le.,My dad got angry.
生气,shēngqì,"to get angry; life, vitality",孩子们充满了生气。,Háizimen chōngmǎnle shēngqì.,The children are full of vitality.
大人,dàren,adult,大人们在看孩子们玩儿。,Dàrenmen zài kàn háizimen wánr.,The adults are watching the children playing.
大人,dàren,adult,大人们不在家。,Dàrenmen bú zài jiā.,The parents are not home.
听说,tīngshuō,"to hear that, to hear of",这件事我听说了。,Zhè jiàn shì wǒ tīngshuō le.,I've heard about this.
听说,tīngshuō,"to hear that, to hear of",我听说你要搬走了？,Wǒ tīngshuō nǐ yào bānzǒu le?,I heard that you're going to move?
不好意思,bùhǎoyìsi,"embarrassed, shy; sorry",不好意思，我来晚了。,"Bùhǎoyìsi, wǒ lái wǎn le.",I'm sorry to be late.
不好意思,bùhǎoyìsi,"embarrassed, shy; sorry",他觉得很不好意思。,Tā juéde hěn bùhǎoyìsi.,He felt very embarrassed.
跑步,pǎobù,"to jog, to run",我去公园跑步。,Wǒ qù gōngyuán pǎobù.,I'm going for a run in the park.
跑步,pǎobù,"to jog, to run",他每天早上都跑步。,Tā měi tiān zǎoshang dōu pǎobù.,He goes for a run every morning.
辣,là,"hot, spicy; to burn, to sting",这道菜真辣！,Zhè dào cài zhēn là!,This dish is really hot!
辣,là,"hot, spicy; to burn, to sting",他被辣到舌头了。,Tā bèi làdào shétou le.,He burned his tongue.
多么,duōme,"how, what",多么晴朗的日子啊。,Duōme qínglǎng de rìzi a.,What lovely weather!
多么,duōme,"how, what",多么漂亮的衣服呀。,Duōme piàoliang de yīfu ya.,What a beautiful dress!
感冒,gǎnmào,"common cold, flu; to catch a cold",今年的流行感冒很厉害。,Jīnnián de liúxíng gǎnmào hěn lìhai.,Flu is widespread this year.
感冒,gǎnmào,"common cold, flu; to catch a cold",他感冒了。,Tā gǎnmào le.,He has caught a cold.
相关,xiāngguān,"to be interrelated, to be relevant",这两件事情不相关。,Zhè liǎng jiàn shìqing bù xiāngguān.,These two things are not related to each other.
相关,xiāngguān,"to be interrelated, to be relevant",我在查相关资料。,Wǒ zài chá xiāngguān zīliào.,I'm checking the relevant information.
政策,zhèngcè,policy,政府制定了新政策。,Zhèngfǔ zhìdìngle xīn zhèngcè.,The government has drawn up a new policy.
政策,zhèngcè,policy,今年的留学政策变了。,Jīnnián de liúxué zhèngcè biàn le.,The policy for accepting overseas students has changed this year.
部门,bùmén,"department, branch",我被分到了销售部门。,Wǒ bèi fēndàole xiāoshòu bùmén.,I was transferred to the sales department.
部门,bùmén,"department, branch",她是人事部门的。,Tā shì rénshì bùmén de.,She works in the personnel department.
负责,fùzé,"responsible, conscientious; to be responsible for",他对工作很负责。,Tā duì gōngzuò hěn fùzé.,He takes a responsible attitude towards his work.
负责,fùzé,"responsible, conscientious; to be responsible for",我负责这个项目。,Wǒ fùzé zhège xiàngmù.,I am responsible for this project.
代表,dàibiǎo,"to represent; representative, delegate",他代表领导发言。,Tā dàibiǎo lǐngdǎo fāyán.,He delivered a talk on behalf of the leader.
代表,dàibiǎo,"to represent; representative, delegate",他是市长的代表。,Tā shì shìzhǎng de dàibiǎo.,He's the mayor's representative.
建议,jiànyì,"to propose, to suggest; proposal, suggestion",医生建议我多锻炼。,Yīshēng jiànyì wǒ duō duànliàn.,The doctor advised me to exercise more.
建议,jiànyì,"to propose, to suggest; proposal, suggestion",他接受了老师的建议。,Tā jiēshòule lǎoshī de jiànyì.,He accepted the teacher's suggestions.
条,tiáo,counter for news or long things,树上有一条蛇。,Shù shàng yǒu yì tiáo shé.,There is a snake in the tree.
条,tiáo,counter for news or long things,那里有一条河。,Nàlǐ yǒu yì tiáo hé.,There is a river there.
放,fàng,"to put, to add, to release",桌上放着一个杯子。,Zhuō shàng fàngzhe yí gè bēizi.,There is a glass on the table.
放,fàng,"to put, to add, to release",小学生们放学了。,Xiǎoxuéshengmen fàngxué le.,The elementary school is closed.
关于,guānyú,"about, regarding",我喜欢看关于历史的书。,Wǒ xǐhuan kàn guānyú lìshǐ de shū.,I like to read books about history.
关于,guānyú,"about, regarding",关于这个问题，我要问领导。,"Guānyú zhège wèntí, wǒ yào wèn lǐngdǎo.",I'm going to ask the leader about this problem.
一切,yíqiè,"all, every, everything",一切都要听我的。,Yíqiè dōu yào tīng wǒ de.,Everyone must listen to me regarding all matters.
一切,yíqiè,"all, every, everything",我的工作一切顺利。,Wǒ de gōngzuò yíqiè shùnlì.,My work is going well.
责任,zérèn,"responsibility, duty, blame",他很有责任感。,Tā hěn yǒu zérèngǎn.,He has a great sense of responsibility.
责任,zérèn,"responsibility, duty, blame",这是你的责任。,Zhè shì nǐ de zérèn.,This is your responsibility.
显示,xiǎnshì,"to show, to display, to reveal",研究显示了什么结果？,Yánjiū xiǎnshìle shénme jiéguǒ?,What results does the research show?
显示,xiǎnshì,"to show, to display, to reveal",他显示出领导才能。,Tā xiǎnshì chū lǐngdǎo cáinéng.,He showed his leadership quality.
越,yuè,the more... the more; to go over,他越过了围墙。,Tā yuèguòle wéiqiáng.,He climbed over the enclosing wall.
越,yuè,the more... the more; to go over,天气越来越热了。,Tiānqì yuèláiyuèrè le.,It's getting hotter and hotter.
倍,bèi,"counter for times, -fold",价格增加了一倍。,Jiàgé zēngjiāle yí bèi.,The price doubled.
倍,bèi,"counter for times, -fold",10是5的两倍。,Shí shì wǔ de liǎng bèi.,10 is 2 times 5.
过去,guòqù,"the past, formerly; to go over, to pass by",她在回忆过去。,Tā zài huíyì guòqù.,She is reminiscing about the past.
过去,guòqù,"the past, formerly; to go over, to pass by",幸福的日子过去了。,Xìngfú de rìzi guòqù le.,The happy days are gone.
分析,fēnxī,to analyze; analysis,他分析了失败的原因。,Tā fēnxīle shībài de yuányīn.,He analyzed the reason for the failure.
分析,fēnxī,to analyze; analysis,我们在作化学分析。,Wǒmen zài zuò huàxué fēnxī.,We're performing chemical analysis.
具有,jùyǒu,"to possess, to have",这食品具有当地风味。,Zhè shípǐn jùyǒu dāngdì fēngwèi.,This food has a local flavor.
具有,jùyǒu,"to possess, to have",这件事具有新闻价值。,Zhè jiàn shì jùyǒu xīnwén jiàzhí.,This is a newsworthy issue.
因此,yīncǐ,"therefore, thus",下雨，因此比赛延期了。,"Xiàyǔ, yīncǐ bǐsài yánqī le.",The game will be postponed because it's raining.
因此,yīncǐ,"therefore, thus",我起晚了，因此上班迟到了。,"Wǒ qǐwǎn le, yīncǐ shàngbān chídào le.",I was late for work because I got up late.
重点,zhòngdiǎn,"key point, focus; key, major",问题的重点在哪儿？,Wèntí de zhòngdiǎn zài nǎr?,What's the key point of the question?
重点,zhòngdiǎn,"key point, focus; key, major",政府重点发展经济。,Zhèngfǔ zhòngdiǎn fāzhǎn jīngjì.,The government focus is on economic development.
